Row_ID,Date,Month,Month_Num,Brand,Variant,Variant_Color,Region,City,Channel,MRP,Selling_Price,Discount_Pct,Promotion,Units_Sold,Revenue_INR,Customer_Satisfaction,Can_Size_ML
30,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Jaipur,Kirana,130,117.0,10,Yes,38,4446.0,4.1,500
31,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Lucknow,Kirana,130,130.0,0,No,42,5460.0,4.6,500
32,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,North India,Chandigarh,Kirana,130,130.0,0,No,37,4810.0,4.2,500
33,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Delhi,Modern Trade,130,130.0,0,No,48,6240.0,4.0,500
34,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Jaipur,Modern Trade,130,117.0,10,Yes,63,7371.0,4.7,500
35,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Lucknow,Modern Trade,130,130.0,0,No,45,5850.0,4.7,500
36,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Chandigarh,Modern Trade,130,130.0,0,No,59,7670.0,4.2,500
37,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Delhi,Quick Commerce,130,130.0,0,No,64,8320.0,4.4,500
38,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Jaipur,Quick Commerce,130,130.0,0,No,61,7930.0,3.8,500
39,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Lucknow,Quick Commerce,130,104.0,20,Yes,70,7280.0,4.6,500
40,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Chandigarh,Quick Commerce,130,130.0,0,No,72,9360.0,3.9,500
41,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Delhi,E-Commerce,130,117.0,10,Yes,50,5850.0,4.8,500
42,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Jaipur,E-Commerce,130,130.0,0,No,69,8970.0,4.9,500
43,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Lucknow,E-Commerce,130,117.0,10,Yes,64,7488.0,4.8,500
44,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Chandigarh,E-Commerce,130,130.0,0,No,44,5720.0,4.4,500
45,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Delhi,Kirana,130,117.0,10,Yes,26,3042.0,4.4,500
46,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Jaipur,Kirana,130,130.0,0,No,44,5720.0,4.8,500
47,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Lucknow,Kirana,130,130.0,0,No,38,4940.0,3.8,500
48,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,North India,Chandigarh,Kirana,130,130.0,0,No,48,6240.0,4.9,500
49,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Delhi,Modern Trade,130,130.0,0,No,53,6890.0,3.9,500
50,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Jaipur,Modern Trade,130,130.0,0,No,55,7150.0,3.9,500
51,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Lucknow,Modern Trade,130,130.0,0,No,50,6500.0,3.9,500
52,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Chandigarh,Modern Trade,130,130.0,0,No,51,6630.0,3.9,500
53,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Delhi,Quick Commerce,130,130.0,0,No,44,5720.0,4.4,500
54,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Jaipur,Quick Commerce,130,130.0,0,No,31,4030.0,4.5,500
55,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Lucknow,Quick Commerce,130,130.0,0,No,30,3900.0,4.6,500
56,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Chandigarh,Quick Commerce,130,130.0,0,No,45,5850.0,4.1,500
57,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Delhi,E-Commerce,130,130.0,0,No,40,5200.0,4.3,500
58,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Jaipur,E-Commerce,130,130.0,0,No,35,4550.0,4.1,500
59,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Lucknow,E-Commerce,130,130.0,0,No,22,2860.0,4.4,500
60,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Chandigarh,E-Commerce,130,130.0,0,No,27,3510.0,3.8,500
61,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Delhi,Kirana,130,130.0,0,No,28,3640.0,4.1,500
62,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Jaipur,Kirana,130,110.5,15,Yes,32,3536.0,3.9,500
63,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Lucknow,Kirana,130,130.0,0,No,18,2340.0,4.3,500
64,2023-01-01,Jan 2023,1,Monster Energy,Monster Pipeline Punch,Pink,North India,Chandigarh,Kirana,130,104.0,20,Yes,24,2496.0,4.4,500
65,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Delhi,Modern Trade,135,135.0,0,No,22,2970.0,4.7,500
66,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Jaipur,Modern Trade,135,108.0,20,Yes,20,2160.0,4.3,500
67,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Lucknow,Modern Trade,135,135.0,0,No,26,3510.0,4.8,500
68,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Chandigarh,Modern Trade,135,135.0,0,No,17,2295.0,4.9,500
69,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Delhi,Quick Commerce,135,108.0,20,Yes,17,1836.0,4.2,500
70,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Jaipur,Quick Commerce,135,121.5,10,Yes,34,4131.0,4.0,500
71,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Lucknow,Quick Commerce,135,121.5,10,Yes,25,3037.5,4.1,500
72,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Chandigarh,Quick Commerce,135,135.0,0,No,20,2700.0,3.9,500
73,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Delhi,E-Commerce,135,135.0,0,No,29,3915.0,4.4,500
74,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Jaipur,E-Commerce,135,135.0,0,No,14,1890.0,4.4,500
75,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Lucknow,E-Commerce,135,135.0,0,No,13,1755.0,4.8,500
76,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Chandigarh,E-Commerce,135,135.0,0,No,30,4050.0,4.2,500
77,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Delhi,Kirana,135,135.0,0,No,15,2025.0,4.2,500
78,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Jaipur,Kirana,135,121.5,10,Yes,10,1215.0,4.9,500
79,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Lucknow,Kirana,135,135.0,0,No,12,1620.0,4.7,500
80,2023-01-01,Jan 2023,1,Monster Energy,Monster Rehab Tea,Yellow,North India,Chandigarh,Kirana,135,135.0,0,No,13,1755.0,4.9,500
81,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Delhi,Modern Trade,128,128.0,0,No,30,3840.0,4.6,500
82,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Jaipur,Modern Trade,128,115.2,10,Yes,17,1958.4,4.9,500
83,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Lucknow,Modern Trade,128,128.0,0,No,26,3328.0,3.9,500
84,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Chandigarh,Modern Trade,128,102.4,20,Yes,20,2048.0,4.3,500
85,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Delhi,Quick Commerce,128,128.0,0,No,31,3968.0,4.0,500
86,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Jaipur,Quick Commerce,128,115.2,10,Yes,23,2649.6,3.9,500
87,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Lucknow,Quick Commerce,128,128.0,0,No,14,1792.0,4.1,500
88,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Chandigarh,Quick Commerce,128,128.0,0,No,15,1920.0,4.4,500
89,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Delhi,E-Commerce,128,128.0,0,No,21,2688.0,4.5,500
90,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Jaipur,E-Commerce,128,128.0,0,No,19,2432.0,4.4,500
91,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Lucknow,E-Commerce,128,128.0,0,No,17,2176.0,4.0,500
92,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Chandigarh,E-Commerce,128,128.0,0,No,24,3072.0,4.1,500
93,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Delhi,Kirana,128,128.0,0,No,10,1280.0,4.1,500
94,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Jaipur,Kirana,128,128.0,0,No,11,1408.0,4.8,500
95,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Lucknow,Kirana,128,128.0,0,No,10,1280.0,4.9,500
96,2023-01-01,Jan 2023,1,Monster Energy,Monster Zero Sugar,Blue,North India,Chandigarh,Kirana,128,115.2,10,Yes,10,1152.0,4.4,500
97,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Delhi,Modern Trade,110,110.0,0,No,88,9680.0,4.6,250
98,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Jaipur,Modern Trade,110,110.0,0,No,105,11550.0,3.9,250
99,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Lucknow,Modern Trade,110,110.0,0,No,150,16500.0,4.3,250
100,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Chandigarh,Modern Trade,110,110.0,0,No,166,18260.0,4.4,250
101,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Delhi,Quick Commerce,110,110.0,0,No,141,15510.0,4.4,250
102,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Jaipur,Quick Commerce,110,110.0,0,No,83,9130.0,4.6,250
103,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Lucknow,Quick Commerce,110,110.0,0,No,141,15510.0,4.0,250
104,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Chandigarh,Quick Commerce,110,110.0,0,No,93,10230.0,3.9,250
105,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Delhi,E-Commerce,110,110.0,0,No,136,14960.0,4.2,250
106,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Jaipur,E-Commerce,110,110.0,0,No,89,9790.0,4.5,250
107,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Lucknow,E-Commerce,110,110.0,0,No,69,7590.0,4.5,250
108,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Chandigarh,E-Commerce,110,104.5,5,Yes,63,6583.5,4.3,250
109,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Delhi,Kirana,110,110.0,0,No,61,6710.0,4.1,250
110,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Jaipur,Kirana,110,110.0,0,No,98,10780.0,3.7,250
111,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Lucknow,Kirana,110,110.0,0,No,45,4950.0,4.4,250
112,2023-01-01,Jan 2023,1,Red Bull,Red Bull Original,Red/Blue,North India,Chandigarh,Kirana,110,110.0,0,No,52,5720.0,4.5,250
113,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Delhi,Modern Trade,110,110.0,0,No,65,7150.0,4.1,250
114,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Jaipur,Modern Trade,110,110.0,0,No,31,3410.0,4.6,250
115,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Lucknow,Modern Trade,110,110.0,0,No,31,3410.0,3.9,250
116,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Chandigarh,Modern Trade,110,110.0,0,No,44,4840.0,4.1,250
117,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Delhi,Quick Commerce,110,110.0,0,No,59,6490.0,4.1,250
118,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Jaipur,Quick Commerce,110,110.0,0,No,62,6820.0,4.6,250
119,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Lucknow,Quick Commerce,110,110.0,0,No,40,4400.0,4.7,250
120,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Chandigarh,Quick Commerce,110,110.0,0,No,37,4070.0,3.7,250
121,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Delhi,E-Commerce,110,110.0,0,No,41,4510.0,4.1,250
122,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Jaipur,E-Commerce,110,110.0,0,No,58,6380.0,4.5,250
123,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Lucknow,E-Commerce,110,110.0,0,No,37,4070.0,4.4,250
124,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Chandigarh,E-Commerce,110,110.0,0,No,43,4730.0,4.6,250
125,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Delhi,Kirana,110,110.0,0,No,24,2640.0,4.6,250
126,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Jaipur,Kirana,110,110.0,0,No,28,3080.0,4.5,250
127,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Lucknow,Kirana,110,110.0,0,No,24,2640.0,4.4,250
128,2023-01-01,Jan 2023,1,Red Bull,Red Bull Sugar Free,Red/Blue,North India,Chandigarh,Kirana,110,110.0,0,No,30,3300.0,4.6,250
129,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Delhi,Modern Trade,110,110.0,0,No,27,2970.0,4.2,250
130,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Jaipur,Modern Trade,110,110.0,0,No,42,4620.0,4.2,250
131,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Lucknow,Modern Trade,110,99.0,10,Yes,18,1782.0,3.9,250
132,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Chandigarh,Modern Trade,110,99.0,10,Yes,27,2673.0,4.0,250
133,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Delhi,Quick Commerce,110,110.0,0,No,27,2970.0,4.7,250
134,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Jaipur,Quick Commerce,110,110.0,0,No,20,2200.0,4.3,250
135,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Lucknow,Quick Commerce,110,99.0,10,Yes,25,2475.0,3.7,250
136,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Chandigarh,Quick Commerce,110,110.0,0,No,34,3740.0,4.6,250
137,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Delhi,E-Commerce,110,110.0,0,No,35,3850.0,4.1,250
138,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Jaipur,E-Commerce,110,110.0,0,No,35,3850.0,4.3,250
139,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Lucknow,E-Commerce,110,110.0,0,No,35,3850.0,4.4,250
140,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Chandigarh,E-Commerce,110,110.0,0,No,23,2530.0,4.4,250
141,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Delhi,Kirana,110,110.0,0,No,16,1760.0,4.0,250
142,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Jaipur,Kirana,110,110.0,0,No,12,1320.0,4.4,250
143,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Lucknow,Kirana,110,110.0,0,No,17,1870.0,4.6,250
144,2023-01-01,Jan 2023,1,Red Bull,Red Bull Tropical,Red/Blue,North India,Chandigarh,Kirana,110,110.0,0,No,22,2420.0,4.1,250
145,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Bangalore,Modern Trade,125,106.25,15,Yes,147,15618.75,4.0,500
146,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Chennai,Modern Trade,125,125.0,0,No,142,17750.0,4.5,500
147,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Hyderabad,Modern Trade,125,125.0,0,No,112,14000.0,4.5,500
148,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Kochi,Modern Trade,125,125.0,0,No,116,14500.0,4.8,500
149,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Bangalore,Quick Commerce,125,125.0,0,No,153,19125.0,4.5,500
150,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Chennai,Quick Commerce,125,125.0,0,No,101,12625.0,4.5,500
151,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Hyderabad,Quick Commerce,125,112.5,10,Yes,106,11925.0,4.5,500
152,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Kochi,Quick Commerce,125,125.0,0,No,95,11875.0,4.0,500
153,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Bangalore,E-Commerce,125,125.0,0,No,69,8625.0,4.3,500
154,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Chennai,E-Commerce,125,125.0,0,No,143,17875.0,4.3,500
155,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Hyderabad,E-Commerce,125,125.0,0,No,146,18250.0,4.0,500
156,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Kochi,E-Commerce,125,125.0,0,No,129,16125.0,4.2,500
157,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Bangalore,Kirana,125,125.0,0,No,43,5375.0,3.8,500
158,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Chennai,Kirana,125,125.0,0,No,74,9250.0,4.8,500
159,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Hyderabad,Kirana,125,125.0,0,No,76,9500.0,4.0,500
160,2023-01-01,Jan 2023,1,Monster Energy,Monster Original,Green,South India,Kochi,Kirana,125,125.0,0,No,71,8875.0,3.9,500
161,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Bangalore,Modern Trade,130,130.0,0,No,52,6760.0,3.9,500
162,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Chennai,Modern Trade,130,130.0,0,No,45,5850.0,4.5,500
163,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Hyderabad,Modern Trade,130,130.0,0,No,69,8970.0,4.8,500
164,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Kochi,Modern Trade,130,130.0,0,No,87,11310.0,4.7,500
165,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Bangalore,Quick Commerce,130,130.0,0,No,93,12090.0,4.7,500
166,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Chennai,Quick Commerce,130,130.0,0,No,73,9490.0,4.0,500
167,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Hyderabad,Quick Commerce,130,130.0,0,No,91,11830.0,4.1,500
168,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Kochi,Quick Commerce,130,130.0,0,No,55,7150.0,4.1,500
169,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Bangalore,E-Commerce,130,130.0,0,No,78,10140.0,4.5,500
170,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Chennai,E-Commerce,130,130.0,0,No,51,6630.0,4.6,500
171,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Hyderabad,E-Commerce,130,130.0,0,No,49,6370.0,4.2,500
172,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Kochi,E-Commerce,130,117.0,10,Yes,65,7605.0,4.1,500
173,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Bangalore,Kirana,130,117.0,10,Yes,40,4680.0,3.9,500
174,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Chennai,Kirana,130,130.0,0,No,32,4160.0,4.3,500
175,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Hyderabad,Kirana,130,130.0,0,No,22,2860.0,4.3,500
176,2023-01-01,Jan 2023,1,Monster Energy,Monster Ultra White,White,South India,Kochi,Kirana,130,130.0,0,No,47,6110.0,4.8,500
177,2023-01-01,Jan 2023,1,Monster Energy,Monster Mango Loco,Orange,South India,Bangalore,Modern Trade,130,130.0,0,No,35,4550.0,4.6,500
